,Country,AverageTemperature,1,2,3,4,5,6,7,8,9,10,11,12
0,Afghanistan,15.16757243816254,1.5199565217391302,3.9764583333333334,9.535708333333336,15.578541666666666,21.350875000000002,25.907833333333333,27.725875000000002,26.24666666666666,21.42739130434782,15.073739130434786,9.057434782608695,3.5604347826086955
1,Africa,24.813636042402834,21.475304347826086,22.950625,24.77166666666666,25.844124999999995,26.473375000000004,26.25425,25.848208333333336,26.066916666666668,26.416478260869564,25.682521739130433,23.899000000000004,21.88491304347826
2,Albania,13.466494699646647,3.879739130434783,4.8946250000000004,8.247166666666667,11.755041666666669,16.826333333333334,21.054458333333336,23.440041666666673,23.465166666666676,18.81921739130435,14.188347826086959,9.345869565217392,5.011608695652174
3,Algeria,24.062975265017673,12.452739130434782,14.939166666666665,19.51816666666667,23.61666666666667,28.35175,32.627375,34.75454166666666,33.996833333333335,30.666478260869557,24.991565217391305,18.372434782608696,13.626086956521736
4,American Samoa,27.190445229681966,27.363739130434784,27.524166666666673,27.63795833333334,27.565625,27.41995833333333,27.093666666666675,26.730125,26.70866666666667,26.863173913043475,26.8004347826087,27.234565217391303,27.32817391304348
5,Andorra,12.231978798586573,4.605086956521739,5.520791666666667,8.432875,10.272333333333334,14.386666666666668,18.271458333333335,20.968416666666666,21.010291666666664,17.000086956521738,12.808130434782608,8.018956521739131,4.913043478260869
6,Angola,22.477134275618365,22.814434782608693,23.38333333333333,23.64558333333333,23.000416666666666,21.751208333333338,19.695833333333333,19.448291666666666,21.455708333333334,23.67704347826087,24.265130434782613,23.812782608695656,22.99147826086957
7,Anguilla,27.412318021201415,25.65043478260869,25.626750000000005,26.06804166666667,26.595333333333333,27.65233333333333,28.523333333333337,28.79104166666667,29.051916666666667,28.894043478260865,28.29808695652174,27.520652173913035,26.257478260869572
8,Antarctica,,,,,,,,,,,,,
9,Antigua And Barbuda,27.242512367491177,25.57591304347826,25.527208333333334,25.97504166666667,26.578125000000004,27.623375,28.38095833333333,28.571749999999998,28.803791666666665,28.571173913043484,27.913565217391312,27.23643478260869,26.119652173913046
10,Argentina,15.199932862190801,21.92286956521739,20.7995,18.959208333333333,14.91933333333334,11.347583333333333,8.624541666666664,7.922374999999999,10.181583333333336,12.751826086956521,15.97795652173913,18.741652173913042,20.844043478260872
11,Armenia,9.743950530035333,-3.5687391304347833,-1.7915833333333333,3.423625,9.196875,14.005416666666667,18.788708333333336,22.14404166666667,22.263208333333335,17.492173913043477,11.32008695652174,4.167130434782608,-1.3753913043478263
12,Aruba,28.61732155477035,27.09543478260869,26.974000000000007,27.244083333333332,27.85866666666666,29.061499999999995,29.764583333333334,29.87433333333334,30.206833333333332,30.011260869565213,29.14682608695652,28.54982608695652,27.591695652173918
13,Asia,8.494007067137808,-6.336043478260869,-3.7195,2.304208333333334,9.317083333333333,15.52975,20.0665,21.871875,20.352958333333337,15.811695652173915,9.15808695652174,1.1647391304347827,-4.735217391304347
14,Australia,22.20011660777385,28.498782608695656,27.782416666666677,25.889791666666664,22.520791666666664,18.576166666666666,15.494416666666666,14.957333333333333,16.61729166666667,20.158043478260876,23.196739130434782,25.93034782608695,27.36895652173913
15,Austria,7.340293286219082,-2.7814347826086956,-1.3074583333333332,2.7520833333333337,7.159124999999999,12.294749999999999,15.413500000000006,17.158,16.93070833333334,12.263956521739132,7.384391304347827,2.2793043478260877,-2.290304347826087
16,Azerbaijan,12.440017667844517,0.7143478260869567,1.8308333333333329,5.900625000000001,11.096333333333332,16.391166666666667,21.42620833333333,24.33066666666667,24.13141666666667,19.410217391304347,13.648478260869567,7.190173913043478,2.4259565217391303
17,Bahamas,25.822450704225353,22.34221739130434,22.825000000000003,23.55383333333334,24.733958333333337,26.459708333333328,28.097750000000005,28.95179166666667,29.041125000000008,28.374041666666674,26.958347826086964,25.014347826086958,23.28
18,Bahrain,27.01195406360425,16.251173913043477,17.777333333333335,21.112,26.088875,31.65279166666667,34.76225,36.08875,35.72170833333333,33.11078260869566,29.131260869565214,23.45821739130434,18.374391304347824
19,Baker Island,26.03424734982335,25.804869565217388,26.121041666666667,26.516250000000003,26.492958333333345,26.375208333333337,25.913458333333338,25.727958333333333,25.999333333333336,25.963043478260875,25.70278260869566,25.916521739130438,25.83813043478261
20,Bangladesh,25.426325088339237,18.00452173913044,21.321249999999996,25.572208333333332,27.824166666666667,28.46604166666667,28.515333333333334,28.304624999999998,28.501291666666674,28.22195652173913,26.76695652173913,23.615043478260873,19.54508695652174
21,Barbados,27.25012367491165,26.005043478260863,25.927749999999993,26.335500000000007,26.893708333333333,27.841916666666677,28.016833333333334,28.07354166666667,28.24383333333333,28.179826086956524,27.669652173913047,27.286391304347827,26.50217391304348
22,Belarus,7.140070671378095,-4.2206086956521744,-3.917125,0.528625,7.745374999999999,13.512166666666667,16.886499999999998,19.157874999999997,17.876083333333334,12.43008695652174,6.672521739130436,1.3706086956521737,-3.3094782608695654
23,Belgium,10.549992932862192,2.8585652173913054,3.6557083333333327,6.755624999999999,9.816,13.909083333333333,16.51579166666667,18.58683333333333,18.480666666666668,15.020608695652175,10.780565217391304,6.513826086956522,3.1036086956521736
24,Belize,25.75753873239436,22.993478260869566,24.136708333333335,25.405166666666677,26.962999999999994,27.769833333333327,27.483750000000004,27.019333333333336,27.03420833333333,27.004833333333327,25.701173913043476,24.178086956521746,23.107130434782608
25,Benin,27.808226148409897,26.854782608695654,29.237958333333328,30.901083333333332,30.516500000000004,29.149625,27.45925,26.118916666666667,25.521541666666668,26.11521739130434,27.054434782608695,27.67217391304348,26.912565217391307
26,Bhutan,12.417586572438157,4.094347826086956,6.612125,10.376875,12.893833333333333,15.51979166666667,17.7455,18.194000000000003,17.97425,16.797739130434785,13.519652173913046,9.277608695652177,5.4664782608695655
27,Bolivia,21.390607773851595,22.92069565217392,22.659125,22.651625,21.524791666666662,19.682916666666667,18.4345,18.20458333333334,19.936666666666664,21.695521739130438,22.92782608695652,23.274478260869564,23.06326086956522
28,"Bonaire, Saint Eustatius And Saba",27.893021201413422,26.30626086956522,26.329124999999994,26.743,27.321125000000006,28.3955,28.834000000000003,28.837791666666675,29.199583333333333,29.257826086956523,28.647521739130436,27.965434782608693,26.86130434782609
29,Bosnia And Herzegovina,11.422802120141341,1.1413913043478259,2.3397083333333346,6.575708333333335,10.684875,15.810541666666671,19.504624999999997,21.640083333333337,21.552333333333337,16.50104347826087,11.764304347826087,6.8370869565217385,1.932869565217391
30,Botswana,22.540586572438166,26.365695652173912,26.057166666666664,25.048208333333335,22.31691666666666,19.136458333333334,16.06125,15.725291666666664,18.667333333333335,22.96791304347826,25.809782608695652,26.554652173913045,26.41860869565217
31,Brazil,25.51175971731449,25.942521739130434,25.914875000000006,25.91758333333333,25.486125,24.72820833333333,24.179541666666662,24.109375,25.154666666666667,26.045956521739136,26.387478260869567,26.294434782608704,26.114782608695656
32,British Virgin Islands,27.142447183098582,25.364000000000004,25.332500000000007,25.69179166666667,26.29404166666667,27.400000000000002,28.320291666666662,28.607375,28.838624999999997,28.621000000000006,27.975739130434782,27.197347826086958,25.981173913043484
33,Bulgaria,11.425689045936387,0.39073913043478276,1.75375,5.768541666666668,10.49633333333333,15.848333333333331,19.99695833333333,22.28229166666667,22.18020833333333,17.29295652173913,12.058478260869567,6.640304347826086,1.6016956521739132
34,Burkina Faso,28.77431448763251,25.308521739130434,28.266291666666664,31.451333333333327,32.62195833333333,31.964375,29.930875,27.857083333333332,26.864833333333337,27.5494347826087,28.880217391304342,28.286695652173915,25.982478260869563
35,Burma,24.30397526501768,19.251782608695656,21.569541666666666,24.764958333333336,26.97875,26.99683333333333,26.539208333333338,26.074416666666668,26.01533333333333,25.79591304347826,24.86886956521739,22.6714347826087,19.737565217391303
36,Burundi,20.697607773851594,20.558608695652175,20.803625,20.564083333333333,20.394499999999997,20.72475,20.564583333333328,20.33933333333333,21.247916666666672,21.731739130434782,21.06660869565217,20.3495652173913,20.03660869565217
37,Cambodia,27.283017667844494,25.412086956521733,27.097250000000003,28.735500000000002,29.382416666666657,28.77095833333333,27.99570833333333,27.435541666666666,27.331374999999994,27.040652173913045,26.56730434782609,26.21095652173914,25.165695652173916
38,Cameroon,24.94449823321556,24.39539130434782,25.981708333333327,26.88100000000001,26.59345833333333,25.79325,24.662166666666664,23.856458333333336,23.736874999999998,24.03926086956522,24.304608695652178,24.740695652173915,24.22330434782609
39,Canada,-3.760489436619717,-21.719956521739128,-19.701625000000003,-14.29925,-5.643708333333333,2.972875,10.116458333333334,13.581666666666665,12.046000000000001,6.473333333333334,-1.6587826086956523,-10.764478260869561,-18.07752173913043
40,Cape Verde,24.96472084805654,22.895043478260874,22.66266666666667,23.08283333333333,23.25358333333334,24.146999999999995,25.151708333333335,26.20208333333333,27.335041666666665,27.666478260869564,27.07478260869565,26.063869565217395,24.168434782608703
41,Cayman Islands,27.427116197183114,24.98821739130434,25.371791666666663,25.953583333333338,26.99416666666667,28.12633333333334,28.966458333333335,29.4145,29.487583333333333,29.081375000000005,28.099,26.834043478260874,25.63534782608695
42,Central African Republic,25.881706713780922,24.985739130434784,27.183791666666668,28.321416666666668,27.86616666666667,26.878208333333333,25.661833333333337,24.721874999999997,24.695125000000004,25.001478260869565,25.092521739130436,25.350956521739132,24.640652173913043
43,Chad,27.807558303886925,21.93708695652174,24.498791666666666,28.014291666666665,30.948208333333326,31.62675,31.264499999999998,29.606000000000005,28.78208333333333,29.227,28.59956521739131,26.00891304347826,22.738913043478266
44,Chile,9.91523321554771,14.393608695652174,14.028791666666669,12.752958333333334,10.045166666666667,7.66425,5.689166666666666,5.179416666666666,6.4418750000000005,8.110043478260872,9.876782608695652,11.80191304347826,13.32947826086957
45,China,7.587756183745585,-7.683086956521737,-3.619166666666667,2.332541666666667,9.012,14.361250000000004,18.32825,20.205375000000004,19.151874999999993,14.772652173913041,8.043608695652173,0.728,-5.739260869565217
46,Christmas Island,26.513473498233196,26.660869565217393,26.723583333333327,27.042708333333326,27.150125,27.219333333333328,26.560166666666664,25.856583333333337,25.69300000000001,25.87204347826087,26.26373913043479,26.598260869565213,26.492956521739128
47,Colombia,25.413526501766786,25.567173913043487,25.918958333333336,25.886374999999997,25.451041666666672,25.31266666666667,25.09383333333334,25.03929166666666,25.41095833333333,25.53756521739131,25.237000000000005,25.251130434782606,25.246826086956517
