country,total_cases_y,total_deaths_y,total_recoverd_y,total_cases_per_1_million_pop_y,total_tests_y,tests_per_1_million_pop_y,date_y,school_closures_y,date_y,retail_and_recreation_y,grocery_and_pharmacy_y,parks_y,transit_stations_y,workplaces_y,date_y,border_closures_y
Denmark,"5,996",260,"1,955","1,035","67,771","11,700",13/03/2020,0.5,29-Mar-20,0.4,0.2,0.3,0.6,0.3,"March 14 2020,",0.5
Djibouti,187,2,36,189,"4,017","4,066",20/03/2020,1,,,,,,,,
Dominica,16, ,5,222,309,"4,293",23/03/2020,1,,,,,,,,
Dominican Republic,"2,620",126,98,242,"7,936",732,19/03/2020,1,29-Mar-20,0.8,0.6,0.7,0.8,0.6,"March 19 2020,",1
Ecuador,"7,257",315,411,411,"21,568","1,222",12/3/2020,0.5,29-Mar-20,0.8,0.7,0.8,0.8,0.6,"25 March 2020, ",1
Egypt,"1,794",135,384,18,"25,000",244,16/03/2020,1,29-Mar-20,0.5,0.2,0.4,0.5,0.3,"March 19 2020,",0.5
El Salvador,118,6,19,18,,,11/3/2020,1,29-Mar-20,0.8,0.6,0.7,0.7,0.5,"March 11, 2020,",1
Equatorial Guinea,18, ,3,13,854,609,,,,,,,,,,
Equatorial Guinea ,,,,,,,16/03/2020,1,,,,,,,,
Eritrea,34, ,,10,,,27/03/2020,1,,,,,,,,
Estonia,"1,304",24,93,983,"29,456","22,205",16/03/2020,1,29-Mar-20,0.6,0.3,0,0.5,0.3,"March 17, 2020,",0.5
Eswatini,12, ,7,10,,,19/03/2020,1,,,,,,,,
Ethiopia,69,3,10,0.6,"3,577",31,16/03/2020,1,,,,,,,,
European Union,,,,,,,,,,,,,,,"March 17 2020,",0.5
Faeroe Islands,184, ,145,"3,766","5,408","110,677",,,,,,,,,,
Falkland Islands,5, ,1,"1,437",137,"39,368",,,,,,,,,,
Faroe Islands,,,,,,,16/03/2020,1,,,,,,,,
Fiji,16, ,,18,,,20/03/2020,1,29-Mar-20,0.4,0.2,0.1,0.6,0.1,,
Finland,"2,905",49,300,524,"44,354","8,005",18/03/2020,1,29-Mar-20,0.5,0.2,0.5,0.6,0.2,"March 19, 2020, ",0.5
France,"124,869","13,197","24,932","1,913","333,807","5,114",3/3/2020,0.5,29-Mar-20,0.9,0.7,0.8,0.9,0.6,,
French Guiana,83, ,43,278,,,,,,,,,,,,
French Polynesia,51, ,,182,744,"2,649",,,,,,,,,,
Gabon,46,1,1,21,,,16/03/2020,1,29-Mar-20,0.4,0.2,0.2,0.5,0.1,,
Gambia,4,1,2,2,,,18/03/2020,1,,,,,,,,
Georgia,242,3,60,61,"3,271",820,2/3/2020,1,29-Mar-20,0.7,0.4,0.2,0.5,0.4,March 20 2020,1
Germany,"123,878","2,736","53,913","1,479","1,317,887","15,730",3/3/2020,0.5,29-Mar-20,0.8,0.5,0.5,0.7,0.4,,
Ghana,408,8,4,13,"37,405","1,204",16/03/2020,1,29-Mar-20,0.1,0.1,0.1,0.1,0,"March 17, 2020,",1
Gibraltar,129, ,84,"3,829","1,558","46,244",23/03/2020,1,,,,,,,,
Greece,"2,081",93,269,200,"37,344","3,583",5/3/2020,0.5,29-Mar-20,0.8,0.4,0.6,0.8,0.5,,
Greenland,11,  ,11,194,770,"13,564",19/03/2020,0.5,,,,,,,,
Grenada,14, ,,124,92,818,16/03/2020,1,,,,,,,,
Guadeloupe,143,8,67,357,,,,,,,,,,,,
Guatemala,137,3,19,8,"1,134",63,16/03/2020,1,29-Mar-20,0.7,0.4,0.5,0.7,0.4,"March 16, 2020,",1
Guinea,212, ,15,16,,,25/03/2020,1,,,,,,,,
Guinea-Bissau,38, ,,19,"1,500",762,17/03/2020,1,29-Mar-20,0.5,,,,0.3,,
Guyana,40,6,8,51,175,222,16/03/2020,1,,,,,,,,
Haiti,31,2,,3,365,32,20/03/2020,1,29-Mar-20,0.3,0.3,0.2,0.5,0.1,,
Honduras,392,24,7,40,"1,600",162,12/3/2020,1,29-Mar-20,0.8,0.6,0.6,0.7,0.5," March 15 2020,",1
Hong Kong,"1,001",4,336,134,"96,709","12,900",,,29-Mar-20,0.3,0.1,0.4,0.5,0.2," 25 March, 2020",1
Hungary,"1,310",85,115,136,"31,961","3,308",11/3/2020,0.5,29-Mar-20,0.7,0.4,0.1,0.5,0.3,"March 17 2020,",0.5
Iceland,"1,689",7,841,"4,950","34,635","101,497",16/03/2020,1,,,,,,,,
India,"8,339",288,969,6,"189,111",137,4/3/2020,0.5,29-Mar-20,0.8,0.7,0.6,0.7,0.5,"13 March 2020,",0.5
Indonesia,"3,842",327,286,14,"19,452",71,16/03/2020,0.5,29-Mar-20,0.5,0.3,0.5,0.5,0.1,"1 April 2020,",0.5
Iran,"70,029","4,357","41,947",834,"251,703","2,997",,,,,,,,,,
Iran (Islamic Republic of),,,,,,,26/02/2020,1,,,,,,,,
Iraq,"1,318",72,601,33,"33,889",843,28/02/2020,0.5,29-Mar-20,0.6,0.4,0.5,0.6,0.6,,
Ireland,"8,089",287,25,"1,638","53,000","10,734",12/3/2020,1,29-Mar-20,0.8,0.4,0.6,0.8,0.5,,
Isle of Man,226,1,112,"2,658","1,934","22,744",,,,,,,,,,
Israel,"10,525",96,"1,258","1,216","117,339","13,557",12/3/2020,1,29-Mar-20,0.7,0.1,0.6,0.6,0.6,"12 March 2020,",1
Italy,"152,271","19,468","32,534","2,518","963,473","15,935",24/02/2020,0.5,29-Mar-20,0.9,0.8,0.9,0.9,0.6,March 10 2020,0.5
Ivory Coast,480,3,54,18,,,,,,,,,,,,
Jamaica,65,4,13,22,907,306,13/03/2020,1,29-Mar-20,0.5,0.4,0.5,0.5,0.3,,
Japan,"6,005",99,762,47,"64,387",509,2/3/2020,1,29-Mar-20,0.3,0.1,0.2,0.4,0.1,,
Jordan,381,7,177,37,"17,000","1,666",15/03/2020,1,29-Mar-20,0.7,0.5,0.6,0.9,0.7, 17 March 2020,1
Kazakhstan,865,10,81,46,"61,955","3,300",16/03/2020,1,29-Mar-20,0.5,0.2,0.2,0.3,0.2,,
Kenya,191,7,24,4,"6,192",115,16/03/2020,1,29-Mar-20,0.5,0.3,0.2,0.4,0.2," March 17, 2020,",0.5
Kiribati,,,,,,,30/03/2020,1,,,,,,,,
Kuwait,"1,154",1,133,270,,,1/3/2020,1,29-Mar-20,0.6,0.3,0.5,0.5,0.4,,
Kyrgyzstan,339,5,44,52,"9,618","1,474",,,29-Mar-20,0.7,0.6,0.3,0.7,0.4,,
Kyrgyzstan ,,,,,,,16/03/2020,1,,,,,,,,
Lao PDR,,,,,,,19/03/2020,1,,,,,,,,
Laos,18, ,,2,"1,094",150,,,29-Mar-20,0.5,0.2,0.2,0.5,0.1,,
Latvia,630,3,16,334,"27,796","14,737",13/03/2020,1,29-Mar-20,0.5,0.2,0.2,0.5,0.2,"March 17, 2020,",1
Lebanon,619,20,77,91,"14,055","2,059",2/3/2020,1,29-Mar-20,0.7,0.5,0.6,0.8,0.4,,
Lesotho,,,,,,,19/03/2020,1,,,,,,,,
Liberia,48,5,3,9,,,16/03/2020,1,,,,,,,,
Libya,24,1,8,3,492,72,16/03/2020,1,29-Mar-20,0.5,0.3,0.3,0.5,0.4,,
Liechtenstein,79,1,55,"2,072",900,"23,605",16/03/2020,1,29-Mar-20,0.9,0.2,,,,,
Lithuania,"1,026",23,54,377,"38,472","14,132",16/03/2020,1,29-Mar-20,0.7,0.4,0.3,0.6,0.3,"March 16  2020,",1
Luxembourg,"3,270",62,500,"5,224","28,965","46,272",16/03/2020,1,29-Mar-20,0.9,0.7,0.7,0.8,0.6,,
Macao,45, ,10,69,,,,,,,,,,,,
Macau,,,,,,,,,,,,,,,"19 March 2020,",1
Madagascar,102, ,11,4,,,21/03/2020,1,,,,,,,,
Malawi,12,2,,0.6,231,12,,,,,,,,,,
Malawi ,,,,,,,23/03/2020,1,,,,,,,,
Malaysia,"4,530",73,"1,995",140,"71,897","2,221",18/03/2020,1,29-Mar-20,0.8,0.6,0.7,0.8,0.5," March 18, 2020",1
Maldives,19, ,13,35,,,12/3/2020,1,,,,,,,,
Mali,87,7,22,4,,,19/03/2020,1,29-Mar-20,0.2,0.2,0.1,0.4,0,,
Malta,370,3,16,838,"16,016","36,273",13/03/2020,1,29-Mar-20,0.8,0.4,0.5,0.6,0.5,,
Marshall Islands,,,,,,,30/03/2020,1,,,,,,,,
Martinique,155,6,50,413,,,,,,,,,,,,
Mauritania,7,1,2,2,380,82,,,,,,,,,,
Mauritania ,,,,,,,16/03/2020,1,,,,,,,,
Mauritius,319,9,28,251,"6,730","5,292",19/03/2020,1,29-Mar-20,0.9,0.9,0.9,0.9,0.7,,
Mayotte,196,3,59,718,"1,350","4,948",,,,,,,,,,
Mexico,"3,844",233,633,30,"31,492",244,23/03/2020,1,29-Mar-20,0.5,0.2,0.5,0.5,0.2,,
Micronesia (Federated States of),,,,,,,18/03/2020,1,,,,,,,,
Moldova,"1,560",30,75,387,"6,271","1,555",,,29-Mar-20,0.7,0.4,0.4,0.7,0.4,"March 17, 2020,",0.5
Monaco,92,1,5,"2,344",,,16/03/2020,1,,,,,,,,
Mongolia,16, ,4,5,,,16/02/2020,1,29-Mar-20,0.2,0.1,0.1,0.2,0,,
Montenegro,263,2,5,419,"2,329","3,708",,,,,,,,,,
Montenegro ,,,,,,,16/03/2020,1,,,,,,,,
Montserrat,9, ,,"1,803",36,"7,212",16/03/2020,1,,,,,,,,
Morocco,"1,527",110,141,41,"7,734",210,16/03/2020,1,,,,,,,"March 15, 2020,",1
Mozambique,20, ,2,0.6,551,18,23/03/2020,1,29-Mar-20,0.3,0.1,0.2,0.3,0,,
Myanmar,31,3,2,0.6,"1,406",26,16/03/2020,0.5,,,,,,,"30 March 2020,",0.5
Myanmar (Burma),,,,,,,,,29-Mar-20,0.5,0.3,0.2,0.3,0.1,,
Namibia,16, ,3,6,362,142,,,29-Mar-20,0.6,0.4,0.4,0.7,0.3,,
Namibia  ,,,,,,,16/03/2020,1,,,,,,,,
Nepal,9, ,1,0.3,"3,524",121,18/03/2020,1,29-Mar-20,0.8,0.7,0.6,0.7,0.7,,
Netherlands,"24,413","2,643",250,"1,425","101,534","5,926",16/03/2020,1,29-Mar-20,0.7,0.3,0.3,0.7,0.3,,
New Caledonia,18, ,1,63,"2,608","9,135",,,,,,,,,,
New Zealand,"1,312",4,422,272,"58,746","12,182",24/03/2020,1,29-Mar-20,0.9,0.5,0.8,0.8,0.6," March 19 2020,",1
Nicaragua,8,1,,1,,,,,29-Mar-20,0.5,0.2,0.3,0.4,0.2,,
Niger,438,11,41,18,"4,298",178,21/03/2020,1,29-Mar-20,0.2,0.1,0.2,0.2,0,,
Nigeria,305,7,58,1,"5,000",24,26/03/2020,1,29-Mar-20,0.4,0.2,0.2,0.3,0.1," March 26, 2020,",1
North Korea,,,,,,,,,,,,,,,"January 21, 2020,",1
North Macedonia,760,34,41,365,"7,653","3,673",11/3/2020,1,29-Mar-20,0.7,0.4,0.4,0.7,0.5,,
Norway,"6,403",117,32,"1,181","124,279","22,924",12/3/2020,1,29-Mar-20,0.7,0.3,0.1,0.6,0.3,"March 16, 2020,",0.5
Oman,546,3,109,107,,,15/03/2020,1,29-Mar-20,0.5,0.3,0.4,0.6,0.3,"March 15, 2020,",1
Pakistan,"5,011",77,762,23,"57,836",262,27/02/2020,0.5,29-Mar-20,0.7,0.6,0.5,0.6,0.4,"21 March 2020,",1
Pakistan ,,,,,,,12/3/2020,0.5,,,,,,,,
Palau,,,,,,,23/03/2020,1,,,,,,,,
Palestine,268,2,46,53,"16,992","3,331",5/3/2020,0.5,,,,,,,"March 5, 2020,",1
Panama,"2,974",74,17,689,"11,776","2,729",12/3/2020,1,29-Mar-20,0.8,0.6,0.8,0.8,0.6,"March 16 2020,",1
Papua New Guinea,,,,,,,23/03/2020,1,29-Mar-20,0.2,0.1,0.1,0.5,0.1,,
Paraguay,133,6,18,19,"2,262",317,,,29-Mar-20,0.7,0.5,0.7,0.8,0.3,,
Paraguay ,,,,,,,11/3/2020,1,,,,,,,,
Peru,"6,848",169,"1,569",208,"67,712","2,054",16/03/2020,1,29-Mar-20,0.8,0.6,0.8,0.8,0.6,"March 17 2020,",1
Philippines,"4,428",247,157,40,"24,500",224,10/3/2020,0.5,29-Mar-20,0.8,0.6,0.6,0.8,0.5,"March 19, 2020,",0.5
Poland,"6,356",208,375,168,"129,560","3,423",16/03/2020,1,29-Mar-20,0.8,0.6,0.6,0.7,0.4," March 15 2020,",1
Portugal,"15,987",470,266,"1,568","155,193","15,220",5/3/2020,0.5,29-Mar-20,0.8,0.6,0.8,0.8,0.5,,
Puerto Rico,,,,,,,,,29-Mar-20,0.8,0.5,0.8,0.8,0.5,,
Qatar,"2,728",6,247,947,"47,751","16,574",10/3/2020,1,29-Mar-20,0.5,0.2,0.3,0.5,0.3,,
Republic of Korea,,,,,,,2/3/2020,1,,,,,,,,
Republic of Moldova,,,,,,,11/3/2020,1,,,,,,,,
Romania,"5,990",290,758,311,"59,272","3,081",11/3/2020,1,29-Mar-20,0.8,0.5,0.6,0.7,0.4,"March 22, 2020,",1
Russia,"13,584",106,"1,045",93,"1,184,442","8,116",,,,,,,,,"March 18 2020,",1
Russian Federation,,,,,,,11/3/2020,0.5,,,,,,,,
Rwanda,118, ,18,9,806,62,,,29-Mar-20,0.6,0.6,0.2,0.8,0.3,,
Rwanda ,,,,,,,16/03/2020,1,,,,,,,,
Réunion,388, ,40,433,,,,,29-Mar-20,1,0.9,0.9,0.8,,,
Saint Kitts and Nevis,12, ,,226,205,"3,853",,,,,,,,,,
Saint Lucia,15, ,1,82,,,16/03/2020,1,,,,,,,,
Saint Martin,32,2,11,828,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,16/03/2020,1,,,,,,,,
