Rural population with access to electricity (%)
"73,""Saint Kitts and Nevis"",""100"","""""
"89,""Saint Lucia"",""99.1"","""""
"94,""Saint Vincent and the Grenadines"",""100"","""""
"111,""Samoa"",""96.1"","""""
"..,""San Marino"",""100"","""""
"137,""Sao Tome and Principe"",""45.3"","""""
"36,""Saudi Arabia"",""100"","""""
"166,""Senegal"",""35.4"","""""
"63,""Serbia"",""100"","""""
"62,""Seychelles"",""100"","""""
"181,""Sierra Leone"",""5.4"","""""
"9,""Singapore"",""100"","""""
"36,""Slovakia"",""100"","""""
"24,""Slovenia"",""100"","""""
"153,""Solomon Islands"",""59.6"","""""
"..,""Somalia"",""8.7"","""""
"113,""South Africa"",""66.9"","""""
"186,""South Sudan"",""21.4"","""""
"25,""Spain"",""100"","""""
"71,""Sri Lanka"",""97"","""""
"168,""Sudan"",""42.8"","""""
"98,""Suriname"",""91"","""""
"8,""Sweden"",""100"","""""
"2,""Switzerland"",""100"","""""
"154,""Syrian Arab Republic"",""77.7"","""""
"125,""Tajikistan"",""99.3"","""""
"159,""Tanzania (United Republic of)"",""16.8"","""""
"77,""Thailand"",""100"","""""
"131,""Timor-Leste"",""71.9"","""""
"167,""Togo"",""19.5"","""""
"105,""Tonga"",""97.7"","""""
"63,""Trinidad and Tobago"",""100"","""""
"91,""Tunisia"",""100"","""""
"59,""Turkey"",""100"","""""
"108,""Turkmenistan"",""100"","""""
"..,""Tuvalu"",""100"","""""
"159,""Uganda"",""11.4"","""""
"88,""Ukraine"",""100"","""""
"35,""United Arab Emirates"",""100"","""""
"15,""United Kingdom"",""100"","""""
"15,""United States"",""100"","""""
"57,""Uruguay"",""100"","""""
"108,""Uzbekistan"",""100"","""""
"141,""Vanuatu"",""52.7"","""""
"96,""Venezuela (Bolivarian Republic of)"",""100"","""""
"118,""Viet Nam"",""100"","""""
"177,""Yemen"",""68.7"","""""
"143,""Zambia"",""14"","""""
"150,""Zimbabwe"",""18.9"","""""
",""Human Development"","".."","""""
" ,""Very high human development"",""100.0"","""""
" ,""High human development"",""98.0"","""""
" ,""Medium human development"",""82.1"","""""
" ,""Low human development"",""24.3"","""""
" ,""Developing Countries"",""76.9"","""""
",""Regions"","".."","""""
" ,""Arab States"",""81.8"","""""
" ,""East Asia and the Pacific"",""96.1"","""""
" ,""Europe and Central Asia"",""100.0"","""""
" ,""Latin America and the Caribbean"",""92.0"","""""
" ,""Sub-Saharan Africa"",""21.8"","""""
" ,""South Asia"",""85.5"","""""
" ,""Least Developed Countries"",""37.8"","""""
" ,""Small Island Developing States"",""60.4"","""""
" ,""Organization for Economic Co-operation and Development"",""100.0"","""""
" ,""World"",""78.6"","""""
