Population using at least basic drinking-water services (%)
"166,""Senegal"",""81"","""""
"63,""Serbia"",""86"","""""
"62,""Seychelles"",""96"","""""
"181,""Sierra Leone"",""61"","""""
"9,""Singapore"",""100"","""""
"36,""Slovakia"",""100"","""""
"24,""Slovenia"",""100"","""""
"153,""Solomon Islands"",""68"","""""
"..,""Somalia"",""52"","""""
"113,""South Africa"",""93"","""""
"186,""South Sudan"",""41"","""""
"25,""Spain"",""100"","""""
"71,""Sri Lanka"",""89"","""""
"168,""Sudan"",""60"","""""
"98,""Suriname"",""95"","""""
"8,""Sweden"",""100"","""""
"2,""Switzerland"",""100"","""""
"154,""Syrian Arab Republic"",""97"","""""
"125,""Tajikistan"",""81"","""""
"159,""Tanzania (United Republic of)"",""57"","""""
"77,""Thailand"",""100"","""""
"131,""Timor-Leste"",""78"","""""
"167,""Togo"",""65"","""""
"105,""Tonga"",""100"","""""
"63,""Trinidad and Tobago"",""98"","""""
"91,""Tunisia"",""96"","""""
"59,""Turkey"",""99"","""""
"108,""Turkmenistan"",""99"","""""
"..,""Tuvalu"",""99"","""""
"159,""Uganda"",""49"","""""
"88,""Ukraine"",""94"","""""
"35,""United Arab Emirates"",""98"","""""
"15,""United Kingdom"",""100"","""""
"15,""United States"",""99"","""""
"57,""Uruguay"",""99"","""""
"108,""Uzbekistan"",""98"","""""
"141,""Vanuatu"",""91"","""""
"96,""Venezuela (Bolivarian Republic of)"",""96"","""""
"118,""Viet Nam"",""95"","""""
"177,""Yemen"",""63"","""""
"143,""Zambia"",""60"","""""
"150,""Zimbabwe"",""64"","""""
"4,""Hong Kong, China (SAR)"","".."","""""
"18,""Liechtenstein"","".."","""""
"119,""Palestine, State of"","".."","""""
",""Human Development"","".."","""""
" ,""Very high human development"",""99"","""""
" ,""High human development"",""94"","""""
" ,""Medium human development"",""90"","""""
" ,""Low human development"",""59"","""""
" ,""Developing Countries"",""88"","""""
",""Regions"","".."","""""
" ,""Arab States"",""89"","""""
" ,""East Asia and the Pacific"",""92"","""""
" ,""Europe and Central Asia"",""96"","""""
" ,""Latin America and the Caribbean"",""97"","""""
" ,""South Asia"",""93"","""""
" ,""Sub-Saharan Africa"",""61"","""""
" ,""Least Developed Countries"",""64"","""""
" ,""Small Island Developing States"",""82"","""""
" ,""Organization for Economic Co-operation and Development"",""99"","""""
" ,""World"",""90"","""""
a: Refers to 2016.
b: Refers to 2015.
c: Refers to 2013.
