"Mobile phone subscriptions (per 100 people)"
"HDI Rank (2018)","Country","2018",""
"170","Afghanistan","59.1",""
"69","Albania","94.2",""
"82","Algeria","121.9",""
"36","Andorra","107.3",""
"149","Angola","43.1",""
"48","Argentina","132.1",""
"81","Armenia","121.3",""
"6","Australia","113.6",""
"20","Austria","123.5",""
"87","Azerbaijan","103.9",""
"60","Bahamas","99",""
"45","Bahrain","133.3",""
"135","Bangladesh","97.3",""
"56","Barbados","122.6",""
"50","Belarus","122.9",""
"17","Belgium","103.4",""
"103","Belize","85.5",""
"163","Benin","82.4",""
"134","Bhutan","93.3",""
"114","Bolivia (Plurinational State of)","100.8",""
"75","Bosnia and Herzegovina","104.1",""
"94","Botswana","150",""
"79","Brazil","98.8",""
"43","Brunei Darussalam","131.9",""
"52","Bulgaria","118.1",""
"182","Burkina Faso","97.9",""
"185","Burundi","56.5",""
"126","Cabo Verde","112.2",""
"146","Cambodia","119.5",""
"150","Cameroon","69.1",""
"13","Canada","89.2",""
"188","Central African Republic","27.7",""
"187","Chad","45.1",""
"42","Chile","134.4",""
"85","China","115",""
"79","Colombia","129.9",""
"156","Comoros","59.9",""
"179","Congo (Democratic Republic of the)","43.4",""
"68","Costa Rica","169.9",""
"46","Croatia","105.6",""
"72","Cuba","47.4",""
"31","Cyprus","100.9",""
"26","Czechia","119.2",""
"165","Côte d'Ivoire","134.9",""
"11","Denmark","125.1",""
"171","Djibouti","41.2",""
"98","Dominica","105.8",""
"89","Dominican Republic","84.1",""
"85","Ecuador","92.3",""
"116","Egypt","95.3",""
"124","El Salvador","146.9",""
"144","Equatorial Guinea","45.2",""
"30","Estonia","145.4",""
"12","Finland","132.2",""
"26","France","108.4",""
"115","Gabon","138.3",""
"174","Gambia","139.5",""
"70","Georgia","133.4",""
"4","Germany","129.3",""
"142","Ghana","137.5",""
"32","Greece","115.7",""
"126","Guatemala","118.7",""
"174","Guinea","96.1",""
"178","Guinea-Bissau","79",""
"169","Haiti","57.5",""
"132","Honduras","79.2",""
"4","Hong Kong, China (SAR)","259.4",""
"43","Hungary","103.4",""
"6","Iceland","126.1",""
"129","India","86.9",""
"111","Indonesia","119.8",""
"65","Iran (Islamic Republic of)","108.5",""
"120","Iraq","94.9",""
"3","Ireland","103.2",""
"22","Israel","127.7",""
"29","Italy","137.5",""
"96","Jamaica","101",""
"19","Japan","139.2",""
"102","Jordan","87.6",""
"50","Kazakhstan","142",""
"147","Kenya","96.3",""
"132","Kiribati","46.6",""
"22","Korea (Republic of)","129.7",""
"57","Kuwait","178.6",""
"122","Kyrgyzstan","122.6",""
"140","Lao People's Democratic Republic","51.9",""
"39","Latvia","107.3",""
"93","Lebanon","64.5",""
"18","Liechtenstein","124.6",""
"34","Lithuania","164.3",""
"21","Luxembourg","132.2",""
"162","Madagascar","40.6",""
"172","Malawi","39",""
"61","Malaysia","134.5",""
"104","Maldives","166.4",""
"184","Mali","115.1",""
"28","Malta","140.2",""
"161","Mauritania","103.7",""
"66","Mauritius","151.4",""
"76","Mexico","93",""
"107","Moldova (Republic of)","88",""
"..","Monaco","84.5",""
"92","Mongolia","133.2",""
"52","Montenegro","180.7",""
"121","Morocco","124.2",""
"180","Mozambique","47.7",""
"145","Myanmar","113.8",""
"130","Namibia","112.7",""
"147","Nepal","139.4",""
"14","New Zealand","134.9",""
"126","Nicaragua","115.1",""
"158","Nigeria","88.2",""
"82","North Macedonia","98.5",""
"1","Norway","107.2",""
"47","Oman","133.4",""
"152","Pakistan","72.6",""
"119","Palestine, State of","89.5",""
"67","Panama","130.1",""
"98","Paraguay","107",""
"32","Poland","134.7",""
"40","Portugal","115.6",""
"41","Qatar","141.9",""
"52","Romania","116.2",""
"49","Russian Federation","157.4",""
"157","Rwanda","78.9",""
"89","Saint Lucia","101.7",""
"94","Saint Vincent and the Grenadines","96.1",""
"137","Sao Tome and Principe","77.1",""
"36","Saudi Arabia","122.6",""
"166","Senegal","104.5",""
"62","Seychelles","184.3",""
"9","Singapore","145.7",""
"36","Slovakia","132.8",""
"24","Slovenia","118.7",""
"153","Solomon Islands","73.8",""
"113","South Africa","153.3",""
"186","South Sudan","33.5",""
"25","Spain","115.9",""
"71","Sri Lanka","115.1",""
"168","Sudan","72",""
"8","Sweden","125.1",""
"2","Switzerland","129.6",""
"154","Syrian Arab Republic","98.4",""
"159","Tanzania (United Republic of)","77.2",""
"77","Thailand","180.2",""
"131","Timor-Leste","103.2",""
"167","Togo","77.9",""
"63","Trinidad and Tobago","140.1",""
"91","Tunisia","127.7",""
"59","Turkey","97.3",""
"159","Uganda","57.3",""
"88","Ukraine","122.6",""
"35","United Arab Emirates","208.5",""
"15","United Kingdom","117.5",""
"15","United States","123.7",""
"57","Uruguay","149.9",""
"96","Venezuela (Bolivarian Republic of)","71.8",""
"118","Viet Nam","147.2",""
"143","Zambia","89.2",""
"150","Zimbabwe","89.4",""
"74","Antigua and Barbuda","..",""
"138","Congo","..",""
