"Mobile phone subscriptions (per 100 people)"
"182","Eritrea","..",""
"173","Ethiopia","..",""
"98","Fiji","..",""
"135","Micronesia (Federated States of)","..",""
"78","Grenada","..",""
"123","Guyana","..",""
"73","Saint Kitts and Nevis","..",""
"176","Liberia","..",""
"110","Libya","..",""
"164","Lesotho","..",""
"117","Marshall Islands","..",""
"189","Niger","..",""
"10","Netherlands","..",""
"82","Peru","..",""
"106","Philippines","..",""
"55","Palau","..",""
"155","Papua New Guinea","..",""
"181","Sierra Leone","..",""
"63","Serbia","..",""
"98","Suriname","..",""
"138","Eswatini (Kingdom of)","..",""
"125","Tajikistan","..",""
"108","Turkmenistan","..",""
"105","Tonga","..",""
"108","Uzbekistan","..",""
"141","Vanuatu","..",""
"111","Samoa","..",""
"177","Yemen","..",""
"","Human Development","..",""
" ","Very high human development","127.9",""
" ","High human development","114.1",""
" ","Medium human development","91.8",""
" ","Low human development","73.5",""
" ","Developing Countries","101.1",""
"","Regions","..",""
" ","Arab States","106.2",""
" ","East Asia and the Pacific","119.6",""
" ","Europe and Central Asia","111.2",""
" ","Latin America and the Caribbean","102.5",""
" ","South Asia","87.7",""
" ","Sub-Saharan Africa","82.8",""
" ","Least Developed Countries","77.2",""
" ","Small Island Developing States","84.2",""
" ","Organization for Economic Co-operation and Development","119.3",""
" ","World","105.9",""
""
