area_name;area_code;area_group;Economic Quality;Education;Governance;Health;Investment Environment;Living Conditions;Market Access and Infrastructure;Natural Environment;Personal Freedom;Safety and Security;Social Capital
Estonia;EST;Eastern Europe;73,3;83,7;79,7;75,3;76,8;90,8;72,9;69,5;75,6;82,9;56,5
Eswatini;SWZ;Sub-Saharan Africa;41,1;41,1;38,6;52,4;48,1;54,6;35,9;48,3;29,4;68,9;44,2
Ethiopia;ETH;Sub-Saharan Africa;37,7;35,6;36,1;58,1;38,1;42,4;28,1;51,4;26,9;51,2;46,8
Finland;FIN;Western Europe;68,5;86,6;89,8;80,0;80,5;95,9;77,4;76,0;90,8;89,5;73,8
France;FRA;Western Europe;63,5;81,2;79,1;81,9;78,0;93,9;74,8;68,7;77,1;84,4;56,0
Gabon;GAB;Sub-Saharan Africa;42,6;55,1;39,9;58,4;45,7;65,4;40,0;58,7;43,3;66,4;42,2
Georgia;GEO;Eastern Europe;48,5;71,5;58,4;71,2;67,6;71,5;61,0;47,8;61,7;71,6;46,1
Germany;DEU;Western Europe;74,9;83,2;85,6;82,3;78,4;96,3;77,3;67,6;85,3;88,4;67,2
Ghana;GHA;Sub-Saharan Africa;35,3;50,3;56,0;63,6;47,9;58,8;38,3;53,5;64,1;66,8;52,8
Greece;GRC;Western Europe;44,8;75,3;62,1;79,1;52,4;87,7;68,1;65,3;65,4;80,4;47,0
Guatemala;GTM;Latin America and the Caribbean;48,8;46,1;44,3;68,9;52,8;60,6;52,3;54,9;54,6;63,6;52,4
Guinea;GIN;Sub-Saharan Africa;31,4;22,3;39,1;46,5;43,4;39,4;25,1;59,5;47,8;60,5;49,2
Guinea-Bissau;GNB;Sub-Saharan Africa;38,3;24,3;36,6;50,1;32,0;36,2;25,9;57,9;49,9;77,1;48,3
Guyana;GUY;Latin America and the Caribbean;39,9;58,7;49,7;63,9;51,6;75,3;43,4;57,2;59,5;70,7;50,8
Haiti;HTI;Latin America and the Caribbean;32,9;41,5;33,3;52,8;28,9;40,7;24,3;43,6;48,5;67,6;40,7
Honduras;HND;Latin America and the Caribbean;43,8;47,4;40,3;71,9;51,7;63,1;43,6;56,3;50,4;57,1;52,3
Hong Kong;HKG;Asia-Pacific;73,9;87,6;81,2;83,1;81,9;94,5;81,7;65,3;66,9;93,0;58,9
Hungary;HUN;Eastern Europe;65,0;74,0;50,9;75,4;64,3;88,1;63,7;64,7;53,2;81,1;49,5
Iceland;ISL;Western Europe;70,6;85,3;84,3;82,8;73,1;93,4;76,6;71,1;89,1;92,7;74,5
India;IND;Asia-Pacific;48,4;50,0;59,7;66,6;54,5;55,1;48,8;40,6;49,2;53,8;50,9
Indonesia;IDN;Asia-Pacific;54,1;61,0;54,4;69,0;60,2;65,4;48,4;57,7;48,6;67,6;73,4
Iran;IRN;Middle East and North Africa;42,8;65,5;38,3;71,3;42,7;77,1;39,7;44,1;16,9;56,8;45,2
Iraq;IRQ;Middle East and North Africa;42,0;44,4;35,8;61,2;35,6;69,7;37,9;39,1;33,1;22,6;49,2
Ireland;IRL;Western Europe;75,5;84,8;83,8;80,9;74,3;94,7;72,9;69,0;87,8;90,1;67,4
Israel;ISR;Middle East and North Africa;69,7;82,4;78,6;82,4;78,3;93,3;69,6;50,9;58,5;57,2;53,1
Italy;ITA;Western Europe;57,2;80,3;63,8;81,8;66,2;91,6;69,3;59,6;74,2;86,4;53,3
Jamaica;JAM;Latin America and the Caribbean;41,6;62,9;56,3;75,5;60,2;79,5;51,7;48,3;70,1;62,7;49,8
Japan;JPN;Asia-Pacific;67,0;86,5;80,6;86,3;78,3;93,6;74,8;66,6;72,1;91,5;44,4
Jordan;JOR;Middle East and North Africa;39,8;57,6;50,3;72,2;61,0;80,4;54,2;44,5;39,2;69,5;47,4
Kazakhstan;KAZ;Asia-Pacific;57,0;77,5;47,6;71,8;62,1;81,1;52,2;49,0;32,9;69,5;51,5
Kenya;KEN;Sub-Saharan Africa;37,5;51,9;48,0;64,5;59,2;49,3;41,4;49,5;47,7;44,9;55,1
Kuwait;KWT;Middle East and North Africa;60,1;61,1;46,8;75,5;54,9;88,8;60,5;51,4;41,5;72,0;54,2
Kyrgyzstan;KGZ;Asia-Pacific;45,4;64,3;45,6;71,3;50,7;71,6;37,3;58,7;49,3;72,7;56,6
Laos;LAO;Asia-Pacific;48,1;51,7;38,7;60,9;38,7;53,7;38,1;60,8;28,3;73,5;47,8
Latvia;LVA;Eastern Europe;64,3;80,6;64,9;71,3;68,4;87,6;67,5;69,8;68,1;82,3;45,1
Lebanon;LBN;Middle East and North Africa;37,0;61,8;40,9;72,1;48,9;83,6;49,7;48,3;46,6;47,4;42,1
Lesotho;LSO;Sub-Saharan Africa;41,0;43,6;44,9;42,7;41,0;44,2;34,6;41,5;53,6;67,4;45,6
Liberia;LBR;Sub-Saharan Africa;32,4;26,0;44,7;45,5;38,9;40,9;20,6;58,5;52,9;70,7;52,7
Libya;LBY;Middle East and North Africa;38,0;50,2;28,9;68,4;30,4;71,6;32,2;40,9;33,4;31,1;46,9
Lithuania;LTU;Eastern Europe;64,2;81,7;67,5;70,9;70,0;87,7;68,3;65,7;68,1;85,3;42,6
Luxembourg;LUX;Western Europe;74,1;79,2;86,6;81,4;76,7;95,7;81,9;71,0;88,1;93,2;61,8
Madagascar;MDG;Sub-Saharan Africa;36,8;32,8;40,0;55,0;40,5;27,6;27,8;55,6;53,2;63,6;47,4
Malawi;MWI;Sub-Saharan Africa;36,5;31,6;47,4;57,1;44,0;37,5;31,0;57,6;55,5;69,1;39,8
Malaysia;MYS;Asia-Pacific;66,2;74,9;56,1;77,6;72,0;79,8;67,1;61,3;40,0;69,8;58,7
Mali;MLI;Sub-Saharan Africa;40,9;21,7;44,0;49,6;36,8;44,1;26,0;53,5;54,2;40,3;44,8
Malta;MLT;Western Europe;71,2;78,4;77,5;82,0;68,7;95,3;68,9;60,8;82,8;89,3;64,6
Mauritania;MRT;Sub-Saharan Africa;34,4;24,5;28,8;56,2;29,8;52,3;23,0;40,6;31,7;65,4;40,2
Mauritius;MUS;Sub-Saharan Africa;53,6;67,9;66,4;75,4;68,2;81,4;59,1;51,9;68,6;81,6;57,2
Mexico;MEX;Latin America and the Caribbean;59,2;64,9;48,6;78,2;60,1;75,7;60,3;56,5;59,1;48,8;46,4
Moldova;MDA;Eastern Europe;41,6;68,9;47,9;69,2;53,9;77,0;54,4;48,9;50,1;70,1;47,6
Mongolia;MNG;Asia-Pacific;43,8;68,9;54,2;68,8;48,5;65,3;36,9;49,4;59,6;73,9;52,1
Montenegro;MNE;Eastern Europe;48,4;72,0;57,6;71,1;63,1;83,4;60,6;53,1;61,1;78,6;51,3
Morocco;MAR;Middle East and North Africa;44,3;46,6;46,3;66,5;58,9;71,4;56,8;51,3;40,2;74,9;35,5
Mozambique;MOZ;Sub-Saharan Africa;22,5;26,7;40,5;53,2;37,0;39,0;25,8;57,9;53,8;66,2;48,7
Myanmar;MMR;Asia-Pacific;43,7;50,7;37,6;66,9;36,0;49,5;39,9;59,7;35,5;38,8;58,2
Namibia;NAM;Sub-Saharan Africa;42,3;45,1;61,5;60,2;54,6;60,2;47,7;56,8;63,1;75,1;52,7
Nepal;NPL;Asia-Pacific;44,7;45,9;44,7;63,0;42,0;51,7;27,9;48,3;59,5;71,1;49,5
Netherlands;NLD;Western Europe;74,7;86,4;88,7;82,6;78,9;96,9;80,4;58,9;89,7;91,3;73,3
New Zealand;NZL;Asia-Pacific;68,9;86,0;88,2;80,8;82,5;91,4;73,2;71,7;86,5;90,2;73,2
Nicaragua;NIC;Latin America and the Caribbean;41,2;48,7;38,3;72,3;48,0;66,9;44,3;58,6;42,9;66,3;47,6
Niger;NER;Sub-Saharan Africa;37,7;16,2;41,7;50,7;35,8;34,8;23,1;50,5;52,8;53,8;50,4
Nigeria;NGA;Sub-Saharan Africa;30,2;36,0;40,3;43,4;44,4;46,0;28,8;51,8;48,9;36,7;52,0
North Macedonia;MKD;Eastern Europe;49,9;61,1;51,9;75,1;61,8;83,7;55,7;56,5;54,1;71,9;50,1
Norway;NOR;Western Europe;73,2;86,0;90,4;83,4;83,3;95,8;74,8;71,3;94,6;93,8;77,5
Oman;OMN;Middle East and North Africa;51,3;65,1;47,9;74,8;60,9;79,9;64,9;43,7;31,8;81,6;58,1
Pakistan;PAK;Asia-Pacific;36,6;38,2;41,5;59,9;45,8;54,9;34,1;35,1;38,2;37,0;49,6
Panama;PAN;Latin America and the Caribbean;59,8;59,1;54,5;76,8;60,3;76,6;61,2;62,6;63,7;77,3;51,9
Papua New Guinea;PNG;Asia-Pacific;42,6;35,3;43,5;52,1;45,8;35,8;33,7;57,6;61,4;66,1;46,1
Paraguay;PRY;Latin America and the Caribbean;48,5;52,6;46,6;72,1;52,2;76,8;46,8;66,7;56,2;72,0;53,7
Peru;PER;Latin America and the Caribbean;53,0;67,3;52,2;74,9;61,6;69,5;51,9;66,0;64,7;71,5;42,3
Philippines;PHL;Asia-Pacific;55,1;62,8;49,0;68,7;52,7;59,8;52,5;59,3;58,8;43,1;59,3
Poland;POL;Eastern Europe;62,9;78,9;63,9;77,5;67,7;89,9;65,1;58,6;60,2;88,4;47,1
Portugal;PRT;Western Europe;57,9;77,3;75,0;79,4;70,2;91,3;72,5;59,8;86,1;86,4;53,9
