country,City,Name,no. of Airports,airports_cum
Hungary,Budapest,Budapest Liszt Ferenc International Airport,1.0,16.0
Hungary,Debrecen,Debrecen International Airport,1.0,16.0
Hungary,Kecskemet,Kecskemét Airport,1.0,16.0
Hungary,Nyirregyhaza,Nyíregyháza Airport,1.0,16.0
Hungary,Ocseny,Őcsény Airport,1.0,16.0
Hungary,Azentkilyszabadja,Szentkirályszabadja Airport,1.0,16.0
Hungary,Szolnok,Szolnok Air Base,1.0,16.0
Hungary,Pécs-Pogány,Pécs-Pogány Airport,1.0,16.0
Hungary,Győr,Győr-Pér International Airport,1.0,16.0
Hungary,Sármellék,Sármellék International Airport,1.0,16.0
Hungary,Papa,Pápa Air Base,1.0,16.0
Hungary,Budapest,Tököl Airport,1.0,16.0
Hungary,Eger,Sturgate Airfield,1.0,16.0
Hungary,Budaoers,Budaörs Airfield,1.0,16.0
Hungary,Jakabszallas,Jakabszállás Airport,1.0,16.0
Hungary,Kalocsa/Foktő,Kalocsa/Foktő Airport,1.0,16.0
Honduras,La Ceiba,Goloson International Airport,1.0,12.0
Honduras,San Pedro Sula,Ramón Villeda Morales International Airport,1.0,12.0
Honduras,Guanaja,La Laguna Airport,1.0,12.0
Honduras,Roatan,Juan Manuel Galvez International Airport,1.0,12.0
Honduras,Tela,Tela Airport,1.0,12.0
Honduras,Tegucigalpa,Toncontín International Airport,1.0,12.0
Honduras,Trujillo,Trujillo Airport,1.0,12.0
Honduras,Utila,Utila Airport,1.0,12.0
Honduras,Ahuas,Ahuas Airport,1.0,12.0
Honduras,Puerto Lempira,Puerto Lempira Airport,1.0,12.0
Honduras,Brus Laguna,Brus Laguna Airport,1.0,12.0
Honduras,Comayagua,Coronel Enrique Soto Cano Air Base,1.0,12.0
Eritrea,Assab,Assab International Airport,1.0,3.0
Eritrea,Asmara,Asmara International Airport,1.0,3.0
Eritrea,Massawa,Massawa International Airport,1.0,3.0
Mauritania,Aioun El Atrouss,Aioun el Atrouss Airport,1.0,11.0
Mauritania,Tidjikja,Tidjikja Airport,1.0,11.0
Mauritania,Kiffa,Kiffa Airport,1.0,11.0
Mauritania,Nema,Néma Airport,1.0,11.0
Mauritania,Kaedi,Kaédi Airport,1.0,11.0
Mauritania,Nouakschott,Nouakchott–Oumtounsy International Airport,1.0,11.0
Mauritania,Selibabi,Sélibaby Airport,1.0,11.0
Mauritania,Atar,Atar International Airport,1.0,11.0
Mauritania,Nouadhibou,Nouadhibou International Airport,1.0,11.0
Mauritania,Bir Moghrein,Bir Moghrein Airport,1.0,11.0
Mauritania,Zouerat,Tazadit Airport,1.0,11.0
Saint Vincent and the Grenadines,Canouan Island,Canouan Airport,1.0,5.0
Saint Vincent and the Grenadines,Mustique,Mustique Airport,1.0,5.0
Saint Vincent and the Grenadines,Kingstown,Argyle International Airport,1.0,5.0
Saint Vincent and the Grenadines,Bequia,J F Mitchell Airport,1.0,5.0
Saint Vincent and the Grenadines,Union Island,Union Island International Airport,1.0,5.0
Serbia,Belgrade,Belgrade Nikola Tesla Airport,1.0,6.0
Serbia,Nis,Nis Airport,1.0,6.0
Serbia,Pristina,Priština International Airport,1.0,6.0
Serbia,Vrsac,Vršac International Airport,1.0,6.0
Serbia,Batajnica,Batajnica Air Base,1.0,6.0
Serbia,Novi Sad,Cenej Airport,1.0,6.0
Equatorial Guinea,Bata,Bata Airport,1.0,3.0
Equatorial Guinea,Malabo,Malabo Airport,1.0,3.0
Equatorial Guinea,San Antonio de Pale,Annobón Airport,1.0,3.0
Dominican Republic,Samana,Arroyo Barril Airport,1.0,14.0
Dominican Republic,Barahona,Maria Montez International Airport,1.0,14.0
Dominican Republic,Cabo Rojo,Cabo Rojo Airport,1.0,14.0
Dominican Republic,La Romana,Casa De Campo International Airport,1.0,14.0
Dominican Republic,Punta Cana,Punta Cana International Airport,1.0,14.0
Dominican Republic,Puerto Plata,Gregorio Luperon International Airport,1.0,14.0
Dominican Republic,Santo Domingo,Las Américas International Airport,1.0,14.0
Dominican Republic,San Isidoro,San Isidro Air Base,1.0,14.0
Dominican Republic,Santiago,Cibao International Airport,1.0,14.0
Dominican Republic,Samana,Samaná El Catey International Airport,1.0,14.0
Dominican Republic,La Isabela,La Isabela International Airport,1.0,14.0
Dominican Republic,Constanza,Constanza - Expedición 14 de Junio National Airport,1.0,14.0
Dominican Republic,Santo Domingo,Herrera Airport,1.0,14.0
Dominican Republic,Montecristi,Monte Cristi Airport,1.0,14.0
Georgia,Batumi,Batumi International Airport,1.0,5.0
Georgia,Kutaisi,Kopitnari Airport,1.0,5.0
Georgia,Tbilisi,Tbilisi International Airport,1.0,5.0
Georgia,Sukhumi,Sukhumi Dranda Airport,1.0,5.0
Georgia,Mestia,Mestia Queen Tamar Airport,1.0,5.0
Spain,Fuerteventura,Fuerteventura Airport,1.0,64.0
Spain,Hierro,Hierro Airport,1.0,64.0
Spain,Santa Cruz De La Palma,La Palma Airport,1.0,64.0
Spain,Gran Canaria,Gran Canaria Airport,1.0,64.0
Spain,Arrecife,Lanzarote Airport,1.0,64.0
Spain,Tenerife,Tenerife South Airport,1.0,64.0
Spain,Tenerife,Tenerife Norte Airport,1.0,64.0
Spain,Melilla,Melilla Airport,1.0,64.0
Spain,Albacete,Albacete-Los Llanos Airport,1.0,64.0
Spain,Alicante,Alicante International Airport,1.0,64.0
Spain,Almeria,Almería International Airport,1.0,64.0
Spain,Aviles,Asturias Airport,1.0,64.0
Spain,Cordoba,Córdoba Airport,1.0,64.0
Spain,Bilbao,Bilbao Airport,1.0,64.0
Spain,Barcelona,Barcelona International Airport,1.0,64.0
Spain,Badajoz,Badajoz Airport,1.0,64.0
Spain,La Coruna,A Coruña Airport,1.0,64.0
Spain,Granada,Armilla Air Base,1.0,64.0
Spain,Gerona,Girona Airport,1.0,64.0
Spain,Granada,Federico Garcia Lorca Airport,1.0,64.0
Spain,Madrid,Getafe Air Base,1.0,64.0
Spain,Ibiza,Ibiza Airport,1.0,64.0
Spain,Jerez,Jerez Airport,1.0,64.0
Spain,Murcia,San Javier Airport,1.0,64.0
Spain,Madrid,Adolfo Suárez Madrid–Barajas Airport,1.0,64.0
Spain,Malaga,Málaga Airport,1.0,64.0
Spain,Menorca,Menorca Airport,1.0,64.0
Spain,Sevilla,Moron Air Base,1.0,64.0
Spain,Ocana,Ocaña Airport,1.0,64.0
Spain,Pamplona,Pamplona Airport,1.0,64.0
Spain,Murcia,Alcantarilla Air Base,1.0,64.0
Spain,Reus,Reus Air Base,1.0,64.0
Spain,Rota,Rota Naval Station Airport,1.0,64.0
Spain,Salamanca,Salamanca Airport,1.0,64.0
Spain,Son Bonet,Son Bonet Airport,1.0,64.0
Spain,San Luis,San Luis Airport,1.0,64.0
Spain,San Sebastian,San Sebastian Airport,1.0,64.0
Spain,Santiago,Santiago de Compostela Airport,1.0,64.0
Spain,Seo De Urgel,Pirineus - la Seu d'Urgel Airport,1.0,64.0
Spain,Madrid,Torrejón Airport,1.0,64.0
Spain,Valencia,Valencia Airport,1.0,64.0
Spain,Valladolid,Valladolid Airport,1.0,64.0
Spain,Vitoria,Vitoria/Foronda Airport,1.0,64.0
Spain,Vigo,Vigo Airport,1.0,64.0
Spain,Santander,Santander Airport,1.0,64.0
Spain,Zaragoza,Zaragoza Air Base,1.0,64.0
Spain,Sevilla,Sevilla Airport,1.0,64.0
Spain,Palma de Mallorca,Palma De Mallorca Airport,1.0,64.0
Spain,La Gomera,La Gomera Airport,1.0,64.0
Spain,Logroño-Agoncillo,Logroño-Agoncillo Airport,1.0,64.0
Spain,Leon,Leon Airport,1.0,64.0
Spain,Burgos,Burgos Airport,1.0,64.0
Spain,Sabadell,Sabadell Airport,1.0,64.0
Spain,Lleida,Lleida-Alguaire Airport,1.0,64.0
Spain,Huesca,Huesca/Pirineos Airport,1.0,64.0
Spain,Ciudad Real,Ciudad Real Central Airport,1.0,64.0
Spain,Das i Fontanals de Cerdanya,La Cerdanya Airport,1.0,64.0
Spain,Segovia,Fuentemilanos Airport,1.0,64.0
Spain,Sevilla,Central Bolívar Airport,1.0,64.0
Spain,Madrid,Cuatro Vientos Airport,1.0,64.0
Spain,Castellón de la Plana,Castellón-Costa Azahar Airport,1.0,64.0
Spain,Teruel,Teruel Airport,1.0,64.0
Spain,Algeciras,Algeciras Heliport,1.0,64.0
Spain,Murcia,Región de Murcia International Airport,1.0,64.0
Benin,Cotonou,Cadjehoun Airport,1.0,3.0
Benin,Parakou,Parakou Airport,1.0,3.0
Benin,Kandi,Kandi Airport,1.0,3.0
Fiji,Nandi,Nadi International Airport,1.0,19.0
Fiji,Nausori,Nausori International Airport,1.0,19.0
Fiji,Levuka,Levuka Airfield,1.0,19.0
Fiji,Cicia,Cicia Airport,1.0,19.0
Fiji,Malolo Lailai Island,Malolo Lailai Island Airport,1.0,19.0
Fiji,Vunisea,Vunisea Airport,1.0,19.0
Fiji,Mana Island,Mana Island Airport,1.0,19.0
Fiji,Moala,Moala Airport,1.0,19.0
Fiji,Ngau,Ngau Airport,1.0,19.0
Fiji,Lakeba Island,Lakeba Island Airport,1.0,19.0
Fiji,Lambasa,Labasa Airport,1.0,19.0
Fiji,Matei,Matei Airport,1.0,19.0
Fiji,Koro Island,Koro Island Airport,1.0,19.0
Fiji,Rotuma,Rotuma Airport,1.0,19.0
Fiji,Savusavu,Savusavu Airport,1.0,19.0
Fiji,Vanua Balavu,Vanua Balavu Airport,1.0,19.0
Fiji,Turtle Island,Turtle Island Seaplane Base,1.0,19.0
Fiji,Laucala,Laucala Island Airport,1.0,19.0
Fiji,Yasawa Island,Yasawa Island Airport,1.0,19.0
Guinea-Bissau,Cufar,Cufar Airport,1.0,3.0
Guinea-Bissau,Bissau,Osvaldo Vieira International Airport,1.0,3.0
Guinea-Bissau,Bubaque,Bubaque Airport,1.0,3.0
Thailand,Bangkok,Don Mueang International Airport,1.0,50.0
Thailand,Nakhon Pathom,Kamphaeng Saen Airport,1.0,50.0
Thailand,Lop Buri,Khok Kathiam Airport,1.0,50.0
Thailand,Pattaya,U-Tapao International Airport,1.0,50.0
Thailand,Prachin Buri,Watthana Nakhon Airport,1.0,50.0
Thailand,Lampang,Lampang Airport,1.0,50.0
Thailand,Phrae,Phrae Airport,1.0,50.0
Thailand,Prachuap Khiri Khan,Hua Hin Airport,1.0,50.0
Thailand,Nakhon Sawan,Takhli Airport,1.0,50.0
Thailand,Phetchabun,Sak Long Airport,1.0,50.0
Thailand,Nakhon Sawan,Nakhon Sawan Airport,1.0,50.0
Thailand,Phitsanulok,Phitsanulok Airport,1.0,50.0
Thailand,Tak,Khunan Phumipol Airport,1.0,50.0
Thailand,Satun,Khoun Khan Airport,1.0,50.0
Thailand,Narathiwat,Narathiwat Airport,1.0,50.0
Thailand,Krabi,Krabi Airport,1.0,50.0
Thailand,Songkhla,Songkhla Airport,1.0,50.0
Thailand,Pattani,Pattani Airport,1.0,50.0
Thailand,Ko Samui,Samui Airport,1.0,50.0
Thailand,Nakhon Si Thammarat,Cha Eian Airport,1.0,50.0
Thailand,Phuket,Phuket International Airport,1.0,50.0
Thailand,Ranong,Ranong Airport,1.0,50.0
Thailand,Hat Yai,Hat Yai International Airport,1.0,50.0
Thailand,Trang,Trang Airport,1.0,50.0
Thailand,Udon Thani,Udon Thani Airport,1.0,50.0
Thailand,Sakon Nakhon,Sakon Nakhon Airport,1.0,50.0
Thailand,Surin,Surin Airport,1.0,50.0
Thailand,Loei,Loei Airport,1.0,50.0
Thailand,Nakhon Ratchasima,Khorat Airport,1.0,50.0
Thailand,Roi Et,Rob Muang Airport,1.0,50.0
Thailand,Bangkok,Suvarnabhumi Airport,1.0,50.0
Thailand,Chiang Mai,Chiang Mai International Airport,1.0,50.0
Thailand,Chiang Rai,Chiang Rai International Airport,1.0,50.0
Thailand,Nakhon Si Thammarat,Nakhon Si Thammarat Airport,1.0,50.0
Thailand,Nakhon Ratchasima,Nakhon Ratchasima Airport,1.0,50.0
Thailand,Nakhon Phanom,Nakhon Phanom Airport,1.0,50.0
Thailand,Ubon Ratchathani,Ubon Ratchathani Airport,1.0,50.0
Thailand,Khon Kaen,Khon Kaen Airport,1.0,50.0
Thailand,Sukhothai,Sukhothai Airport,1.0,50.0
Thailand,Surat Thani,Surat Thani Airport,1.0,50.0
Thailand,Mae Hong Son,Mae Hong Son Airport,1.0,50.0
Thailand,Nan,Nan Airport,1.0,50.0
Thailand,Roi Et,Roi Et Airport,1.0,50.0
Thailand,Buri Ram,Buri Ram Airport,1.0,50.0
Thailand,Trat,Trat Airport,1.0,50.0
Thailand,Pai,Mae Hong Son Airport,1.0,50.0
Thailand,Phetchabun,Phetchabun Airport,1.0,50.0
Thailand,Chumphon,Chumphon Airport,1.0,50.0
Thailand,Tak,Mae Sot Airport,1.0,50.0
Thailand,Tak,Tak Airport,1.0,50.0
Zambia,Kasompe,Kasompe Airport,1.0,13.0
Zambia,Livingstone,Livingstone Airport,1.0,13.0
Zambia,Lusaka,Kenneth Kaunda International Airport Lusaka,1.0,13.0
Zambia,Mfuwe,Mfuwe Airport,1.0,13.0
Zambia,Mongu,Mongu Airport,1.0,13.0
Zambia,Ndola,Simon Mwansa Kapwepwe International Airport,1.0,13.0
Zambia,Southdowns,Southdowns Airport,1.0,13.0
Zambia,Chipata,Chipata Airport,1.0,13.0
Zambia,Solwesi,Los Alamitos Army Air Field,1.0,13.0
Zambia,Kasaba Bay,Kasaba Bay Airport,1.0,13.0
Zambia,Kasama,Kasama Airport,1.0,13.0
Zambia,Lusaka,Lusaka City Airport,1.0,13.0
Zambia,Mansa,Mansa Airport,1.0,13.0
Uganda,Entebbe,Entebbe International Airport,1.0,12.0
Uganda,Soroti,Soroti Airport,1.0,12.0
Uganda,Arua,Arua Airport,1.0,12.0
Uganda,Gulu,Gulu Airport,1.0,12.0
Uganda,Kidepo,Kidepo Airport,1.0,12.0
Uganda,Kitgum,Kitgum Airport,1.0,12.0
Uganda,Pakuba,Bugungu Airport,1.0,12.0
Uganda,Kabale,Kabale Airport,1.0,12.0
Uganda,Kotido,Kotido Airport,1.0,12.0
Uganda,Kampala,Kajjansi Airfield,1.0,12.0
Uganda,Kisoro,Kisoro Airport,1.0,12.0
Uganda,Kasese,Kasese Airport,1.0,12.0
Vietnam,Danang,Da Nang International Airport,1.0,25.0
Vietnam,Hanoi,Gia Lam Air Base,1.0,25.0
Vietnam,Kep,Kep Air Base,1.0,25.0
Vietnam,Hanoi,Noi Bai International Airport,1.0,25.0
Vietnam,Nhatrang,Nha Trang Air Base,1.0,25.0
Vietnam,Hue,Phu Bai Airport,1.0,25.0
Vietnam,Phuquoc,Phu Quoc International Airport,1.0,25.0
Vietnam,Ho Chi Minh City,Tan Son Nhat International Airport,1.0,25.0
Vietnam,Dalat,Lien Khuong Airport,1.0,25.0
Vietnam,Dong Hoi,Dong Hoi Airport,1.0,25.0
Vietnam,Rach Gia,Rach Gia Airport,1.0,25.0
Vietnam,Ca Mau,Cà Mau Airport,1.0,25.0
Vietnam,Chu Lai,Chu Lai International Airport,1.0,25.0
Vietnam,Tuy Hoa,Dong Tac Airport,1.0,25.0
Vietnam,Buonmethuot,Buon Ma Thuot Airport,1.0,25.0
Vietnam,Haiphong,Cat Bi International Airport,1.0,25.0
Vietnam,Nha Trang,Cam Ranh Airport,1.0,25.0
Vietnam,Conson,Co Ong Airport,1.0,25.0
Vietnam,Can Tho,Can Tho International Airport,1.0,25.0
Vietnam,Dienbienphu,Dien Bien Phu Airport,1.0,25.0
Vietnam,Phucat,Phu Cat Airport,1.0,25.0
Vietnam,Pleiku,Pleiku Airport,1.0,25.0
Vietnam,Vinh,Vinh Airport,1.0,25.0
Vietnam,Phan Rang,Phan Rang Airport,1.0,25.0
Vietnam,Son-La,Na-San Airport,1.0,25.0
Venezuela,Acarigua,Oswaldo Guevara Mujica Airport,1.0,57.0
Venezuela,Anaco,Anaco Airport,1.0,57.0
Venezuela,San Fernando Deatabapo,San Fernando de Atabapo Airport,1.0,57.0
Venezuela,Barcelona,General José Antonio Anzoategui International Airport,1.0,57.0
Venezuela,Barinas,Barinas Airport,1.0,57.0
Venezuela,Maracaibo,El Libertador Airbase,1.0,57.0
Venezuela,Barquisimeto,Barquisimeto International Airport,1.0,57.0
Venezuela,Ciudad Bolivar,"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",1.0,57.0
Venezuela,Caicara De Orinoco,Caicara del Orinoco Airport,1.0,57.0
Venezuela,San Carlos,San Carlos Airport,1.0,57.0
Venezuela,Calabozo,Calabozo Airport,1.0,57.0
Venezuela,Canaima,Canaima Airport,1.0,57.0
Venezuela,Carora,Carora Airport,1.0,57.0
Venezuela,Carupano,General Francisco Bermúdez Airport,1.0,57.0
Venezuela,Coro,José Leonardo Chirinos Airport,1.0,57.0
Venezuela,Caracas,Oscar Machado Zuluaga Airport,1.0,57.0
Venezuela,Cumana,Cumaná (Antonio José de Sucre) Airport,1.0,57.0
Venezuela,Carrizal,Capitán Manuel Ríos Airbase,1.0,57.0
Venezuela,El Dorado,El Dorado Airport,1.0,57.0
Venezuela,Elorza,Elorza Airport,1.0,57.0
Venezuela,Guasdualito,Guasdalito Airport,1.0,57.0
Venezuela,Guiria,Guiria Airport,1.0,57.0
Venezuela,Guanare,Guanare Airport,1.0,57.0
Venezuela,Higuerote,Higuerote Airport,1.0,57.0
Venezuela,Isla De Coche,Andrés Miguel Salazar Marcano Airport,1.0,57.0
Venezuela,Paraguana,Josefa Camejo International Airport,1.0,57.0
Venezuela,San Juan De Los Morros,San Juan de Los Morros Airport,1.0,57.0
Venezuela,La Fria,La Fria Airport,1.0,57.0
Venezuela,La Orchila,La Orchila Airport,1.0,57.0
Venezuela,Maracaibo,La Chinita International Airport,1.0,57.0
Venezuela,Merida,Alberto Carnevalli Airport,1.0,57.0
Venezuela,Porlamar,Del Caribe Santiago Mariño International Airport,1.0,57.0
Venezuela,Caracas,Simón Bolívar International Airport,1.0,57.0
Venezuela,Maturin,Maturín Airport,1.0,57.0
Venezuela,Puerto Ayacucho,Cacique Aramare Airport,1.0,57.0
Venezuela,Puerto Cabello,General Bartolome Salom International Airport,1.0,57.0
Venezuela,San Cristobal,Paramillo Airport,1.0,57.0
Venezuela,Guayana,General Manuel Carlos Piar International Airport,1.0,57.0
Venezuela,Palmarito,Palmarito Airport,1.0,57.0
Venezuela,San Antonio,San Antonio Del Tachira Airport,1.0,57.0
Venezuela,Santa Barbara,Santa Bárbara de Barinas Airport,1.0,57.0
Venezuela,Santa Ana De Uairen,Santa Elena de Uairen Airport,1.0,57.0
Venezuela,Santo Domingo,Mayor Buenaventura Vivas International Airport,1.0,57.0
Venezuela,San Felipe,Sub Teniente Nestor Arias Airport,1.0,57.0
Venezuela,San Fernando De Apure,San Fernando De Apure Airport,1.0,57.0
Venezuela,San Tome,San Tomé Airport,1.0,57.0
Venezuela,Santa Barbara,Santa Bárbara del Zulia Airport,1.0,57.0
Venezuela,Tucupita,Tucupita Airport,1.0,57.0
Venezuela,Tumeremo,Tumeremo Airport,1.0,57.0
Venezuela,Valencia,Arturo Michelena International Airport,1.0,57.0
Venezuela,Valera,Dr. Antonio Nicolás Briceño Airport,1.0,57.0
Venezuela,Valle De La Pascua,Valle de La Pascua Airport,1.0,57.0
Venezuela,Maracay,Escuela Mariscal Sucre Airport,1.0,57.0
Venezuela,El Vigía,Juan Pablo Pérez Alfonso Airport,1.0,57.0
Venezuela,Los Roques,Los Roques Airport,1.0,57.0
Venezuela,Caracas,Francisco de Miranda Airport,1.0,57.0
Venezuela,,Metropolitano Airport,1.0,57.0
Moldova,Saltsy,Bălți International Airport,1.0,5.0
Moldova,Chisinau,Chişinău International Airport,1.0,5.0
Moldova,Mărculeşti,Mărculeşti International Airport,1.0,5.0
Moldova,Cahul,Cahul International Airport,1.0,5.0
Moldova,Tiraspol,Tiraspol Airport,1.0,5.0
Cote d'Ivoire,Abidjan,Port Bouet Airport,1.0,8.0
Cote d'Ivoire,Bouake,Bouaké Airport,1.0,8.0
Cote d'Ivoire,Daloa,Daloa Airport,1.0,8.0
Cote d'Ivoire,Korhogo,Korhogo Airport,1.0,8.0
Cote d'Ivoire,Man,Man Airport,1.0,8.0
Cote d'Ivoire,San Pedro,San Pedro Airport,1.0,8.0
Cote d'Ivoire,Yamoussoukro,Yamoussoukro Airport,1.0,8.0
Cote d'Ivoire,Odienne,Odienne Airport,1.0,8.0
Mongolia,Ulan Bator,Chinggis Khaan International Airport,1.0,13.0
Mongolia,Arvaikheer,Arvaikheer Airport,1.0,13.0
Mongolia,Altai,Altai Airport,1.0,13.0
Mongolia,Bayankhongor,Bayankhongor Airport,1.0,13.0
Mongolia,Dalanzadgad,Dalanzadgad Airport,1.0,13.0
Mongolia,Khovd,Khovd Airport,1.0,13.0
Mongolia,Muren,Mörön Airport,1.0,13.0
Mongolia,Choibalsan,Choibalsan Airport,1.0,13.0
Mongolia,Olgii,Ulgii Mongolei Airport,1.0,13.0
Mongolia,Uliastai,Donoi Airport,1.0,13.0
Mongolia,Bulgan,Bulgan Airport,1.0,13.0
Mongolia,Ulaangom,Ulaangom Airport,1.0,13.0
Mongolia,,Baruun Urt Airport,1.0,13.0
Burma,Ann,Ann Airport,1.0,43.0
Burma,Anisakan,Anisakan Airport,1.0,43.0
Burma,Bagan,Bagan Airport,1.0,43.0
Burma,Coco Island,Coco Island Airport,1.0,43.0
Burma,Heho,Heho Airport,1.0,43.0
Burma,Hommalin,Hommalinn Airport,1.0,43.0
Burma,Kengtung,Kengtung Airport,1.0,43.0
Burma,Kyaukpyu,Kyaukpyu Airport,1.0,43.0
Burma,Lashio,Lashio Airport,1.0,43.0
Burma,Lanywa,Lanywa Airport,1.0,43.0
Burma,Mandalay,Mandalay International Airport,1.0,43.0
Burma,Myeik,Myeik Airport,1.0,43.0
Burma,Myitkyina,Myitkyina Airport,1.0,43.0
Burma,Momeik,Momeik Airport,1.0,43.0
Burma,Mong Hsat,Mong Hsat Airport,1.0,43.0
Burma,Nampong,Nampong Air Base,1.0,43.0
Burma,Namsang,Namsang Airport,1.0,43.0
Burma,Hpa-an,Hpa-N Airport,1.0,43.0
Burma,Putao,Putao Airport,1.0,43.0
Burma,Pyay,Pyay Airport,1.0,43.0
Burma,Shante,Shante Air Base,1.0,43.0
Burma,Sittwe,Sittwe Airport,1.0,43.0
Burma,Thandwe,Thandwe Airport,1.0,43.0
Burma,Tachilek,Tachileik Airport,1.0,43.0
Burma,Taungoo,Taungoo Airport,1.0,43.0
Burma,Yangon,Yangon International Airport,1.0,43.0
Burma,Magwe,Magway Airport,1.0,43.0
Burma,Khamti,Kanti Airport,1.0,43.0
Burma,Bagan,Qinhuangdao Beidaihe Airport,1.0,43.0
Burma,Banmaw,Banmaw Airport,1.0,43.0
Burma,Dawei,Dawei Airport,1.0,43.0
Burma,Kawthoung,Kawthoung Airport,1.0,43.0
Burma,Loikaw,Loikaw Airport,1.0,43.0
Burma,Mawlamyine,Mawlamyine Airport,1.0,43.0
Burma,Pathein,Pathein Airport,1.0,43.0
Burma,Pakhokku,Pakhokku Airport,1.0,43.0
Burma,Naypyidaw,Naypyidaw Airport,1.0,43.0
Burma,Kyauktu,Kyaukhtu South Airport,1.0,43.0
Burma,Bokepyin,Bokpyinn Airport,1.0,43.0
Burma,Monywa,Monywar Airport,1.0,43.0
Burma,Ye,Ye Airport,1.0,43.0
Burma,Naypyidaw,Namtu Airport,1.0,43.0
Burma,Meiktila,Meiktila Air Base,1.0,43.0
Holy See,,,,0.0
Finland,Enontekio,Enontekio Airport,1.0,51.0
Finland,Eura,Eura Airport,1.0,51.0
Finland,Halli,Halli Airport,1.0,51.0
Finland,Helsinki,Helsinki Malmi Airport,1.0,51.0
Finland,Helsinki,Helsinki Vantaa Airport,1.0,51.0
Finland,Hameenkyro,Hameenkyro Airport,1.0,51.0
Finland,Hanko,Hanko Airport,1.0,51.0
Finland,Hyvinkaa,Hyvinkää Airfield,1.0,51.0
Finland,Kikala,Kiikala Airport,1.0,51.0
Finland,Immola,Immola Airport,1.0,51.0
Finland,Kitee,Kitee Airport,1.0,51.0
Finland,Ivalo,Ivalo Airport,1.0,51.0
Finland,Joensuu,Joensuu Airport,1.0,51.0
Finland,Jyvaskyla,Jyvaskyla Airport,1.0,51.0
Finland,Kauhava,Kauhava Airport,1.0,51.0
Finland,Kemi,Kemi-Tornio Airport,1.0,51.0
Finland,Kajaani,Kajaani Airport,1.0,51.0
Finland,Kauhajoki,Kauhajoki Airport,1.0,51.0
Finland,Kruunupyy,Kokkola-Pietarsaari Airport,1.0,51.0
Finland,Kemijarvi,Kemijarvi Airport,1.0,51.0
Finland,Kuusamo,Kuusamo Airport,1.0,51.0
Finland,Kittila,Kittilä Airport,1.0,51.0
Finland,Kuopio,Kuopio Airport,1.0,51.0
Finland,Vesivehmaa,Lahti Vesivehmaa Airport,1.0,51.0
Finland,Lappeenranta,Lappeenranta Airport,1.0,51.0
Finland,Mariehamn,Mariehamn Airport,1.0,51.0
Finland,Menkijarvi,Menkijarvi Airport,1.0,51.0
Finland,Mikkeli,Mikkeli Airport,1.0,51.0
Finland,Nummela,Nummela Airport,1.0,51.0
Finland,Oulu,Oulu Airport,1.0,51.0
Finland,Piikajarvi,Piikajarvi Airport,1.0,51.0
Finland,Pori,Pori Airport,1.0,51.0
Finland,Pudasjarvi,Pudasjärvi Airport,1.0,51.0
Finland,Pyhasalmi,Pyhäsalmi Airport,1.0,51.0
Finland,Pattijoki,Raahe Pattijoki Airport,1.0,51.0
Finland,Rantasalmi,Rantasalmi Airport,1.0,51.0
Finland,Rovaniemi,Rovaniemi Airport,1.0,51.0
Finland,Rayskala,Rayskala Airport,1.0,51.0
Finland,Savonlinna,Savonlinna Airport,1.0,51.0
Finland,Selanpaa,Selanpaa Airport,1.0,51.0
Finland,Sodankyla,Sodankyla Airport,1.0,51.0
Finland,Tampere,Tampere-Pirkkala Airport,1.0,51.0
Finland,Teisko,Teisko Airport,1.0,51.0
Finland,Turku,Turku Airport,1.0,51.0
Finland,Utti,Utti Air Base,1.0,51.0
Finland,Vaasa,Vaasa Airport,1.0,51.0
Finland,Varkaus,Varkaus Airport,1.0,51.0
Finland,Ylivieska-raudaskyla,Ylivieska Airfield,1.0,51.0
Finland,Seinäjoki / Ilmajoki,Seinäjoki Airport,1.0,51.0
Finland,Helsinki,Hernesaari Heliport,1.0,51.0
Finland,Kotka,Kymi Airport,1.0,51.0
Argentina,Concordia,Comodoro Pierrestegui Airport,1.0,96.0
Argentina,Gualeguaychu,Gualeguaychu Airport,1.0,96.0
Argentina,Junin,Junin Airport,1.0,96.0
Argentina,Parana,General Urquiza Airport,1.0,96.0
Argentina,Rosario,Islas Malvinas Airport,1.0,96.0
Argentina,Santa Fe,Sauce Viejo Airport,1.0,96.0
Argentina,Buenos Aires,Jorge Newbery Airpark,1.0,96.0
Argentina,Cordoba,Ingeniero Ambrosio Taravella Airport,1.0,96.0
Argentina,Gobernador Gordillo,Chamical Airport,1.0,96.0
Argentina,San Fernando,San Fernando Airport,1.0,96.0
Argentina,Jose C. Paz,Mariano Moreno Airport,1.0,96.0
Argentina,La Plata,La Plata Airport,1.0,96.0
Argentina,Moron,Moron Airport,1.0,96.0
Argentina,El Palomar,El Palomar Airport,1.0,96.0
Argentina,Chosmadal,Chos Malal Airport,1.0,96.0
Argentina,Fuerte Gral Roca,Dr. Arturo H. Illia Airport,1.0,96.0
Argentina,Mendoza,El Plumerillo Airport,1.0,96.0
Argentina,Malargue,Comodoro D.R. Salomón Airport,1.0,96.0
Argentina,San Rafael,Suboficial Ay Santiago Germano Airport,1.0,96.0
Argentina,Catamarca,Catamarca Airport,1.0,96.0
